success_count,fail_count
187, 561
367, 822
407, 896
437, 931
455, 995
718, 1470
718, 1470
718, 1470
718, 1470
718, 1470
718, 1470
718, 1470
718, 1470
842, 1901
866, 1982
975, 2503
1133, 3153
1377, 4600
1673, 5095
2120, 6201
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2422, 7127
2470, 7778
3227, 8103
3227, 8103
3227, 8103
3227, 8103
3227, 8103
3227, 8103
3227, 8103
3227, 8103
3227, 8103
3227, 8103
3227, 8103
3227, 8103
3227, 8103
3227, 8103
3271, 8220
3283, 8230
3283, 8230
3283, 8230
3283, 8230
3283, 8230
3283, 8230
3283, 8230
3283, 8230
3283, 8230
3283, 8230
3283, 8230
3283, 8230
3283, 8230
3363, 8351
3363, 8351
3412, 8408
3419, 8416
3459, 8633
3776, 10106
3979, 10883
4128, 11361
4367, 11633
4566, 12466
4591, 12494
4694, 13821
4935, 14748
5100, 15735
5388, 16594
5563, 17367
5566, 17505
5655, 17943
6118, 18678
6651, 19778
7154, 20835
7834, 22204
7939, 22399
7954, 22615
7954, 22615
8003, 22801
8011, 23127
8011, 23127
8011, 23127
8011, 23127
8011, 23127
8011, 23127
8022, 23235
8027, 23793
8103, 24166
8117, 24194
8118, 24350
8122, 24608
8125, 24746
8131, 24752
8133, 24880
8139, 25024
8185, 25313
8453, 25914
8677, 26922
9031, 27876
9157, 28477
9520, 29658
9690, 30133
9840, 31229
10036, 32685
10233, 33256
10847, 33682
10847, 33682
10847, 33682
10848, 33804
10853, 33930
10855, 34041
10869, 34189
11191, 34593
11379, 34962
11379, 34962
11379, 34962
11379, 34962
11379, 34962
11379, 34962
11379, 34962
11379, 34962
11379, 34962
11379, 34962
11379, 34962
11379, 34962
11379, 34962
11379, 34962
11379, 34962
11379, 34962
11379, 34962
11387, 35039
11525, 36346
11998, 37488
12561, 38546
12997, 39556
13682, 40174
13683, 40320
14452, 41055
14958, 42009
15275, 43405
15964, 44257
16264, 45387
16361, 46667
16688, 47726
16833, 48639
16921, 49345
17011, 50499
17013, 50657
17019, 50800
17019, 50800
17019, 50800
17019, 50800
17019, 50800
17019, 50800
17019, 50800
17019, 50800
17019, 50800
17019, 50800
17019, 50800
17019, 50800
17019, 50800
17024, 50899
17024, 50899
17024, 50899
17024, 50899
17024, 50899
17024, 50899
17024, 50899
17024, 50899
17024, 50899
17024, 50899
17024, 50899
17024, 50899
17024, 50899
17024, 50899
17024, 50899
17024, 50899
17024, 50899
17024, 50899
17025, 51016
17073, 51246
17829, 51636
