success_count,fail_count
2923,6335
3360,6706
2595,7647
2138,8402
3366,6539
2343,8338
3892,6044
2663,7899
3993,7216
3962,6216
3226,6758
2950,7002
1817,8357
3651,6954
3020,6953
2500,8557
2986,7594
3811,7701
4226,5968
3536,6341
2408,7908
3477,6895
1854,9168
3353,7299
3214,8234
3510,8107
2396,8179
3182,7904
4569,5555
4106,5857
2738,7445
2924,8477
2593,7721
3371,7572
2648,7569
2826,7166
2969,8036
2429,8858
2493,7782
4793,6078
3938,6691
2863,8159
2595,8377
2804,7267
3159,7787
2656,7423
2819,7196
2756,8145
2883,7776
2624,7565
3154,7909
5005,5070
2353,8048
2205,7932
3143,7436
2142,7847
3517,6753
3382,7329
1876,8504
3422,6719
2277,9113
2292,7899
5127,5767
2980,8083
2845,8849
3370,7740
2337,7755
3416,7273
3432,8266
2791,8491
2979,7106
2199,8493
2486,8212
4366,6282
3280,6818
2839,8356
2068,8028
3079,7390
3272,7852
3185,8117
2963,7248
2232,7695
3254,8088
2830,7485
2810,8391
4383,5801
2266,8619
2157,7924
3061,7139
2240,7991
3517,7281
3544,6883
1863,8556
3291,6729
2120,8535
